ktru_code,ktru_name,contract_count,ktru_description,total_contract_sum,average_contract_sum,ktru_subgroup
262014.000.000020,Сеть информационная,124,вычислительная,57906638799.00,466989022.57258065,3f748b67-7f70-43f6-bb13-ba2768f7d7ee
291059.999.000085,Автомобиль,300,"специальный, первой помощи",57469795778.75,191565985.92916667,9dfbb862-537a-43e3-9503-c8e156fcf29a
310911.000.000005,Перегородка,453,из металлопластика,57220873942.50,126315395.01655629,f358b987-7f5f-46e8-9e31-9bc8ae2f14ca
251110.300.000020,Столовая модульная,879,тип сборно-разборный,56374986285.00,64135365.511945392491,4b53df8c-ad36-42cc-bb55-28e4fd0cc0f1
222929.900.000146,Муфта,855,"для кабеля, поливинилхлоридная, соединительная",56344441017.64,65899931.014783625731,d8b91acf-d3c5-45dc-99f4-fc9541449adf
262040.000.000015,Комплекс программно-аппаратный,723,для обновления и ремонта программно-аппаратных комплексов серверных и телекоммуникационных платформ,56144656402.28,77655126.420857538036,1e2fdb31-354a-434c-bcb8-a2510675d5f4
265153.200.000002,Хроматограф газовый,322,"лабораторный, аналитический",55896029000.00,173590152.17391304,38da0961-0539-412b-b4de-b8b7d84cbd3f
323014.000.000024,Мат спортивный,336,гимнастический,55868078710.78,166274043.78208333,f5266ddc-f758-4a00-a3ef-09738e011321
329959.100.000003,Аппарат дыхательный,582,пожарный,55416323639.30,95217050.926632302405,813fcbad-7d4a-4a52-a7d8-338296e803bb
263023.900.000021,Система конференц связи,504,дискуссионная,55034397332.90,109195232.80337302,4123b26b-5ad6-41cf-b416-fb24bc726ba2
291030.300.000006,Автобус,344,"класс 2, вместимость не более 65 мест, длина 8-9,5 м",55021574280.00,159946436.86046512,59a1c43e-3dfd-4a5f-b71e-e83391571588
262015.000.000017,Система хранения данных,781,поддерживаемые протоколы iSCSI/FC/NFS/CIFS/SMB/HTTP,54613592367.38,69927775.118284250960,d68285ac-9e5e-41e6-89ce-9c6487ffe6cd
252112.900.000001,Котел отопительный,4277,на твердом топливе,54434613686.28,12727288.680448912789,31497e88-ac6e-41ff-afd2-88dc8ad3c1c9
212023.400.000017,Открытый конкурс по закупке реагентов для ПТР анализов,1709,Открытый конкурс по закупке реагентов для ПТР анализов,54427802203.85,31847748.510152135752,b1b6e06a-893a-4b06-b85c-021a4892614d
410020.100.000001,Здание,191,офисное,53869875862.14,282041234.88031414,
202011.900.000007,Инсектициды,1359,жидкость,53626411877.69,39460200.057167034584,192390ca-ef79-44a5-b9c5-846ed827b775
262013.000.000016,Сервер,619,"общего назначения, высокопроизводительный с вертикальным масштабированием ресурсов",53610429034.51,86608124.449935379645,ee285385-4010-4f41-bde2-d3d3ba5daae6
262030.100.000044,Комплекс оборудования сетевой безопасности,495,"для защиты от распределенных атак, вторжений, вирусов, угроз различного типа",53510403986.94,108101826.23624242,bbd6affe-dead-4761-ba3e-c30f575f9f5e
205959.600.000004,Ингибитор,70,для предотвращения отложения осадков,53303050008.00,761472142.97142857,f38b780b-4e59-4ea0-a8b2-038672ba1d73
291059.999.000033,Автомобиль,1007,"специализированный, ассенизаторский",50889928975.97,50536175.745749751738,9dfbb862-537a-43e3-9503-c8e156fcf29a
089310.900.000013,Соль техническая,1335,кристаллическая,50430083087.06,37775343.136374531835,dbfcfec8-69f2-477d-8e11-c8295a39b62a
262030.100.000007,Комплекс программно-аппаратный,292,для идентификации государственных номеров,48307481740.00,165436581.30136986,bbd6affe-dead-4761-ba3e-c30f575f9f5e
252112.300.000000,Котел отопительный,1497,на газообразном топливе,47396836340.96,31661213.320614562458,a0687bd2-ba2b-4ed0-a47e-4e169e779023
205952.100.000177,Набор реагентов,1324,для автоматического иммунологического хемилюминисцентного анализатора,47394862148.66,35796723.677235649547,0148c883-8f55-425e-9856-a25f7c4fc255
222121.530.010070,Труба для водоснабжения,511,"полиэтиленовая, диаметр 351-400 мм",47324303610.27,92611161.663933463796,fe64a43d-37a1-40a8-94fe-0e0e5f18ac71
291022.300.000019,Автомобиль,1026,"легковой, класс С, автоматическая трансмиссия, объем до 2000 куб.см",47105884751.60,45912168.373879142300,93bdeaa4-7c0d-402d-9483-a41b8644f956
262016.940.000007,Сканер,1096,"планетарный, роботизированный",46320614531.00,42263334.426094890511,0f973376-905d-44fa-8a48-2a3174bc9fd8
291059.999.000064,Автомобиль,93,"специализированный, уборочный",46173976371.00,496494369.58064516,9dfbb862-537a-43e3-9503-c8e156fcf29a
291030.300.000001,Автобус,1093,"класс 1, вместимость не более 40 мест, длина 6-7,5 м",46077638938.51,42157034.710439158280,59a1c43e-3dfd-4a5f-b71e-e83391571588
265153.900.000000,Анализатор жидкости (спектрофлуориметр),535,для измерения массовой концентрации веществ,44187887000.00,82594181.308411214953,3cf74de0-42df-4c76-830d-410eb3dc85b3
291059.999.000086,Автомобиль,398,"специализированный, быстрого реагирования",43006096255.96,108055518.23105528,9dfbb862-537a-43e3-9503-c8e156fcf29a
236120.900.000990,Здание модульное,433,административное,42641987694.84,98480341.096628175520,54138981-46a8-4fe3-8de4-e9e97de3ed34
325013.170.000001,Катетер,2533,медицинский,42461644174.00,16763381.039873667588,00d668a8-39f9-4a64-a389-38bdef814ab2
